,phrase,label,sentiment,subjectivity,language,count
Friday,Friday,DATE,,,en,34
first,first,ORDINAL,,,en,28
one,one,CARDINAL,,,en,21
Thursday,Thursday,DATE,,,en,19
thousands,thousands,CARDINAL,,,en,19
two,two,CARDINAL,,,en,18
Wednesday,Wednesday,DATE,,,en,14
tens of thousands,tens of thousands,CARDINAL,,,en,12
2025,2025,CARDINAL,,,en,11
Palisades,Palisades,FAC,-0.05218253968253969,1.8439285714285714,en,10
last week,last week,DATE,,,en,9
second,second,ORDINAL,,,en,9
morning,morning,TIME,,,en,9
years,years,DATE,,,en,7
wildfire,wildfire,DATE,,,en,7
First,First,ORDINAL,,,en,6
afternoon,afternoon,TIME,,,en,5
January 2025,January 2025,DATE,,,en,5
today,today,DATE,,,en,5
Tens of thousands,Tens of thousands,CARDINAL,,,en,5
this month,this month,DATE,,,en,5
Republicans,Republicans,NORP,,,en,5
Today,Today,DATE,,,en,4
Democrats,Democrats,NORP,,,en,4
56%,56%,PERCENT,,,en,4
"over 30,000 acres","over 30,000 acres",QUANTITY,,,en,4
"150,000","150,000",CARDINAL,,,en,4
the Eaton Fire,the Eaton Fire,FAC,,,en,4
Jan. 7,Jan. 7,DATE,,,en,4
$10 million,$10 million,MONEY,,,en,4
this weekend,this weekend,DATE,,,en,4
three,three,CARDINAL,,,en,4
year,year,DATE,,,en,3
10,10,CARDINAL,,,en,3
months,months,DATE,,,en,3
Democratic,Democratic,NORP,,,en,3
Tuesday,Tuesday,DATE,,,en,3
two weeks ago,two weeks ago,DATE,,,en,3
$2.5 billion,$2.5 billion,MONEY,,,en,3
the week,the week,DATE,,,en,3
Saturday,Saturday,DATE,,,en,3
At least 24,At least 24,CARDINAL,,,en,3
six years ago,six years ago,DATE,,,en,3
2,2,CARDINAL,,,en,3
"more than 10,000 acres","more than 10,000 acres",QUANTITY,,,en,3
Republican,Republican,NORP,,,en,3
"10,000 acres","10,000 acres",QUANTITY,,,en,3
100%,100%,PERCENT,,,en,3
"125,000","125,000",MONEY,,,en,3
Jan. 9,Jan. 9,DATE,,,en,3
$1 million,$1 million,MONEY,,,en,3
Dems,Dems,NORP,,,en,3
millions of dollars,millions of dollars,MONEY,,,en,3
the Watch Duty,the Watch Duty,WORK_OF_ART,,,en,3
5,5,CARDINAL,,,en,3
Three,Three,CARDINAL,,,en,3
the Palisades Fire,the Palisades Fire,FAC,-0.25,0.3125,en,3
Thousands,Thousands,CARDINAL,,,en,3
thousands of acres,thousands of acres,QUANTITY,,,en,3
Californians,Californians,NORP,,,en,3
"10,396-acre","10,396-acre",QUANTITY,,,en,2
25,25,CARDINAL,,,en,2
24,24,DATE,,,en,2
"12,000","12,000",CARDINAL,,,en,2
evening,evening,TIME,,,en,2
At least five,At least five,CARDINAL,,,en,2
this Boxing Day,this Boxing Day,DATE,,,en,2
14,14,DATE,,,en,2
$15 million,$15 million,MONEY,,,en,2
Hurricane Helene,Hurricane Helene,EVENT,,,en,2
five,five,CARDINAL,,,en,2
$5 Million,$5 Million,MONEY,,,en,2
at least 16,at least 16,CARDINAL,,,en,2
Feb. 22,Feb. 22,DATE,,,en,2
"more than 7,500","more than 7,500",CARDINAL,,,en,2
26%,26%,PERCENT,,,en,2
a sixth day,a sixth day,DATE,,,en,2
the night Saturday,the night Saturday,TIME,,,en,2
67th,67th,ORDINAL,,,en,2
USD $1 Million,USD $1 Million,MONEY,,,en,2
20,20,CARDINAL,,,en,2
15,15,CARDINAL,,,en,2
Oscar,Oscar,WORK_OF_ART,,,en,2
as tens of thousands,as tens of thousands,CARDINAL,,,en,2
over 200 acres,over 200 acres,QUANTITY,,,en,2
Brutalist,Brutalist,NORP,,,en,2
18,18,CARDINAL,,,en,2
Selling Sunset,Selling Sunset,WORK_OF_ART,,,en,2
dozens,dozens,CARDINAL,,,en,2
13,13,CARDINAL,,,en,2
"Tuesday, Jan. 7, 2025","Tuesday, Jan. 7, 2025",DATE,,,en,2
Australian,Australian,NORP,,,en,2
239,239,CARDINAL,,,en,2
"more than 30,000","more than 30,000",CARDINAL,,,en,2
D.,D.,NORP,,,en,2
211,211,CARDINAL,,,en,2
at least five,at least five,CARDINAL,,,en,2
2020,2020,DATE,,,en,2
"50,000","50,000",CARDINAL,,,en,2
"nearly 40,000 acres","nearly 40,000 acres",QUANTITY,,,en,2
about 12%,about 12%,PERCENT,,,en,2
Eaton Fire,Eaton Fire,FAC,,,en,2
American,American,NORP,,,en,2
15-foot,15-foot,QUANTITY,,,en,2
this week,this week,DATE,,,en,2
45-year-old,45-year-old,DATE,,,en,2
Thai,Thai,NORP,,,en,2
47th,47th,ORDINAL,,,en,2
overnight,overnight,TIME,,,en,2
Jan 24,Jan 24,DATE,,,en,2
Jan. 24,Jan. 24,DATE,,,en,2
Each year,Each year,DATE,,,en,2
the Sundance Film Festival,the Sundance Film Festival,EVENT,,,en,2
4x,4x,CARDINAL,,,en,2
week,week,DATE,,,en,2
One,One,CARDINAL,,,en,2
The past several weeks,The past several weeks,DATE,,,en,2
